Code,neighbourhood,2019Q1
E09000001,City of London,2210
E09000002,Barking and Dagenham,1200
E09000003,Barnet,1365
E09000004,Bexley,1100
E09000005,Brent,1500
E09000006,Bromley,1225
E09000007,Camden,2000
E09000008,Croydon,1100
E09000009,Ealing,1375
E09000010,Enfield,1275
E09000011,Greenwich,1325
E09000012,Hackney,1712
E09000013,Hammersmith and Fulham,1690
E09000014,Haringey,1425
E09000015,Harrow,1350
E09000016,Havering,1100
E09000017,Hillingdon,1200
E09000018,Hounslow,1300
E09000019,Islington,1733
E09000020,Kensington and Chelsea,2427
E09000021,Kingston upon Thames,1300
E09000022,Lambeth,1600
E09000023,Lewisham,1275
E09000024,Merton,1400
E09000025,Newham,1400
E09000026,Redbridge,1250
E09000027,Richmond upon Thames,1600
E09000028,Southwark,1525
E09000029,Sutton,1100
E09000030,Tower Hamlets,1647
E09000031,Waltham Forest,1295
E09000032,Wandsworth,1650
E09000033,Westminster,2275
